id;sat_clave;sat_nombre;sat_descripcion;sat_fechainicio;sat_fechafin;sat_simbolo
1,722;W2;Kilo húmedo ;Unidad de masa que define el número de kilogramos de un producto, incluido el contenido de agua del producto.;1/1/2017;1/1/2017;
1,723;WA;Watt por kilogramo ;Unidad de potencia;1/1/2017;null;W/kg
1,724;WB;Libra húmeda;Unidad de masa que define el número de libras de un material, incluyendo el contenido de agua del material ;1/1/2017;1/1/2017;
1,725;WCD;Cable;Unidad de volumen utilizada para medir la madera. Un pie de tabla equivale a 1/2 de un pie cúbico.;1/1/2017;1/1/2017;
1,726;WE;Tonelada húmeda ;Unidad de masa que define el número de toneladas de un material, incluyendo el contenido de agua del material.;1/1/2017;1/1/2017;
1,727;WG;Galón de vino;Unidad de volumen igual a 231 pulgadas cúbicas;1/1/2017;1/1/2017;
1,728;WM;Mes de trabajo ;Unidad de tiempo que define el número de meses de trabajo.;1/1/2017;1/1/2017;
1,729;WSD;Estándar;Unidad de volumen de madera acabada igual a 165 pies cúbicos.;1/1/2017;1/1/2017;std
1,730;Z11;Contenedor colgante ;Unidad de conteo que define el número de contenedores colgantes.;1/1/2017;1/1/2017;
1,731;ZP;Páginas;Unidad de conteo que define el número de páginas;1/1/2017;1/1/2017;
1,732;ZZ;Mutuamente definido;Unidad de medida acordada en común entre dos o más partes;1/1/2017;1/1/2017;
1,733;18;Tambor de cincuenta y cinco galones (EUA);;8/13/2017;1/1/2017;
1,734;19;Camión cisterna;;8/13/2017;1/1/2017;
1,735;26;Tonelada real;;8/13/2017;1/1/2017;
1,736;29;Libra por mil pies cuadrados;;8/13/2017;1/1/2017;Lb / kft²
1,737;30;Día de potencia de caballos por tonelada métrica de aire seco;;8/13/2017;1/1/2017;
1,738;31;Pescar;;8/13/2017;1/1/2017;
1,739;32;Kilogramo por tonelada métrica seca del aire;;8/13/2017;1/1/2017;
1,740;36;Pie cúbico por minuto por pie cuadrado;Se requiere factor de conversión;8/13/2017;1/1/2017;Ft³ / (min / ft²)
1,741;44;Bolsa a granel de quinientos kilos;;8/13/2017;1/1/2017;
1,742;45;Bolsa a granel de trescientos kilos;;8/13/2017;1/1/2017;
1,743;46;Bolsa a granel de cincuenta libras;;8/13/2017;1/1/2017;
1,744;47;Bolso de cincuenta libras;;8/13/2017;1/1/2017;
1,745;48;Carga masiva;;8/13/2017;1/1/2017;
1,746;53;Kilogramo teórico;;8/13/2017;1/1/2017;
1,747;54;Tonelada teórica (UK);;8/13/2017;1/1/2017;
1,748;62;Por ciento por 1000 horas;;8/13/2017;1/1/2017;
1,749;63;Tasa de fracaso en el tiempo;;8/13/2017;1/1/2017;
1,750;64;Libra por pulgada cuadrada, calíbre;;8/13/2017;1/1/2017;
1,751;66;Oersted;;8/13/2017;1/1/2017;Oe
1,752;69;Escala específica de prueba;;8/13/2017;1/1/2017;
1,753;71;Voltios amperios por libra;;8/13/2017;1/1/2017;
1,754;72;Vatio por libra;;8/13/2017;1/1/2017;
1,755;73;Amperios por centímetro;;8/13/2017;1/1/2017;
1,756;76;Gauss;;8/13/2017;1/1/2017;Gs
1,757;78;Kilogauss;;8/13/2017;1/1/2017;Ks
1,758;84;Kilopound-force por pulgada cuadrada;Unidad de presión que define el número de kilopounds fuerza por pulgada cuadrada. Utilice kip por pulgada cuadrada (código común N20).;8/13/2017;1/1/2017;Klbf / in²
1,759;90;Saybold segundo universal;;8/13/2017;1/1/2017;
1,760;92;Calorías por centímetro cúbico;;8/13/2017;1/1/2017;
1,761;93;Calorías por gramo;Utilice calorías de la tabla internacional (IT) por gramo (código común D75).;8/13/2017;1/1/2017;Cal / g
1,762;94;Unidad de curl;;8/13/2017;1/1/2017;
1,763;95;Veinte mil galones;;8/13/2017;1/1/2017;
1,764;96;Diez mil galones (US);;8/13/2017;1/1/2017;
1,765;97;Diez kilos de tambor;;8/13/2017;1/1/2017;
1,766;98;Quince kilos de tambor;;8/13/2017;1/1/2017;
1,767;05;Ascensor;;8/13/2017;1/1/2017;
1,768;06;Pequeño aerosol;;8/13/2017;1/1/2017;
1,769;08;Montón de calor;;8/13/2017;1/1/2017;
1,770;16;Tambor de 115 kilogramos;;8/13/2017;1/1/2017;
1,771;17;Tambor de cien libras;;8/13/2017;1/1/2017;
1,772;1A;Milla de carros;;8/13/2017;1/1/2017;
1,773;1B;Recuento de automóviles;;8/13/2017;1/1/2017;
1,774;1C;Conteo de locomotoras;;8/13/2017;1/1/2017;
1,775;1D;Caboose count;;8/13/2017;1/1/2017;
1,776;1E;Coche vacío;;8/13/2017;1/1/2017;
1,777;1F;Milla de tren;;8/13/2017;1/1/2017;
1,778;1G;Galón del uso del combustible (los EUA);;8/13/2017;1/1/2017;
1,779;1H;Milla de caboose;;8/13/2017;1/1/2017;
1,780;1J;Tonelada milla;;8/13/2017;1/1/2017;
1,781;1K;Milla locomotora;;8/13/2017;1/1/2017;
1,782;1L;Recuento total de automóviles;;8/13/2017;1/1/2017;
1,783;1M;Milla total del coche;;8/13/2017;1/1/2017;
1,784;1X;Cuarto de milla;;8/13/2017;1/1/2017;
1,785;2V;Megagrama por hora;;8/13/2017;1/1/2017;Mg / h
1,786;3E;Libra por libra de producto;;8/13/2017;1/1/2017;
1,787;3G;Libra por pieza de producto;;8/13/2017;1/1/2017;
1,788;3H;Kilogramo por kilogramo de producto;;8/13/2017;1/1/2017;
1,789;3I;Kilogramo por pedazo de producto;;8/13/2017;1/1/2017;
1,790;4B;Gorra;;8/13/2017;1/1/2017;
1,791;4E;Veinte pack;;8/13/2017;1/1/2017;
1,792;5C;Galón (US) por mil;;8/13/2017;1/1/2017;
1,793;5F;Libra por mil;;8/13/2017;1/1/2017;
1,794;5G;bomba;;8/13/2017;1/1/2017;
1,795;5H;Escenario;;8/13/2017;1/1/2017;
1,796;5I;Pies cúbicos estándar;Utilice estándar (código común WSD);8/13/2017;1/1/2017;Std
1,797;5K;Contar por minuto;;8/13/2017;1/1/2017;
1,798;5P;Nivel sísmico;;8/13/2017;1/1/2017;
1,799;5Q;Línea sísmica;;8/13/2017;1/1/2017;
1,800;A1;15 ° C calorías;;8/13/2017;1/1/2017;Cal $ _ $
1,801;A25;Caballo de vapor;Sinónimo: Caballo de fuerza métrico;8/13/2017;1/1/2017;CV
1,802;A50;Dina segundo por centímetro cúbico;;8/13/2017;1/1/2017;Dyn · s / cm³
1,803;A51;Dina segundo por centímetro;;8/13/2017;1/1/2017;Dyn · s / cm
1,804;A52;Dina segundo por centímetro a la quinta potencia;;8/13/2017;1/1/2017;Dyn · s / cm5
1,805;A57;Ergio;;8/13/2017;1/1/2017;ergio
1,806;A58;Erg por centímetro;;8/13/2017;1/1/2017;Erg / cm
1,807;A60;Erg por centímetro cúbico;;8/13/2017;1/1/2017;Erg / cm³
1,808;A61;Erg por gramo;;8/13/2017;1/1/2017;Erg / g
1,809;A62;Erg por segundo gramo;;8/13/2017;1/1/2017;Erg / g · s
1,810;A63;Erg por segundo;;8/13/2017;1/1/2017;Ergs
1,811;A64;Erg por segundo centímetro cuadrado;;8/13/2017;1/1/2017;Erg / (s · cm²)
1,812;A65;Erg por centímetro cuadrado segundo;;8/13/2017;1/1/2017;Erg / (cm² · s)
1,813;A66;Erg centímetro cuadrado;;8/13/2017;1/1/2017;Erg · cm²
1,814;A67;Erg centímetro cuadrado por gramo;;8/13/2017;1/1/2017;Erg · cm² / g
1,815;A77;Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de desplazamiento;;8/13/2017;1/1/2017;
1,816;A78;Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de corriente eléctrica;;8/13/2017;1/1/2017;
1,817;A79;Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de carga eléctrica;;8/13/2017;1/1/2017;
1,818;A80;Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de la fuerza del campo eléctrico;;8/13/2017;1/1/2017;
1,819;A81;Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de polarización eléctrica;;8/13/2017;1/1/2017;
1,820;A82;Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de potencial eléctrico;;8/13/2017;1/1/2017;
1,821;A83;Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de magnetización;;8/13/2017;1/1/2017;
1,822;AJ;policía;;8/13/2017;1/1/2017;
1,823;AP;Libra de aluminio solamente;;8/13/2017;1/1/2017;
1,824;AR;supositorio;;8/13/2017;1/1/2017;
1,825;ARE;Are;Sinónimo: decametro cuadrado;8/13/2017;1/1/2017;un
1,826;ATT;Atmósfera técnica;;8/13/2017;1/1/2017;a
1,827;AW;Relleno de polvo en viales;;8/13/2017;1/1/2017;
1,828;B0;Btu por pie cúbico;;8/13/2017;1/1/2017;BTU / ft³
1,829;B2;litera;;8/13/2017;1/1/2017;
1,830;B36;Calorías (termoquímicas) por gramo;;8/13/2017;1/1/2017;cal th / g
1,831;B37;Kilogramo de fuerza;;8/13/2017;1/1/2017;Kgf
1,832;B38;Kilogramo-metro de la fuerza;;8/13/2017;1/1/2017;Kgf · m
1,833;B39;Kilogramo-fuerza del metro por segundo;;8/13/2017;1/1/2017;Kgf · m / s
1,834;B40;Kilogramo de fuerza por metro cuadrado;;8/13/2017;1/1/2017;Kgf / m²
1,835;B5;palanquilla;;8/13/2017;1/1/2017;
1,836;B51;KiloLibra;Sinónimo: Kilogramo-fuerza;8/13/2017;1/1/2017;Kp
1,837;B6;Bollo;;8/13/2017;1/1/2017;
1,838;B65;Maxwell;;8/13/2017;1/1/2017;Mx
1,839;B9;Batt;;8/13/2017;1/1/2017;
1,840;BH;Cepillo;;8/13/2017;1/1/2017;
1,841;BW;Peso base;;8/13/2017;1/1/2017;
1,842;BZ;Millones de BTUs;;8/13/2017;1/1/2017;
1,843;C1;Libra de producto compuesto (peso total);;8/13/2017;1/1/2017;
1,844;C2;Carset;;8/13/2017;1/1/2017;
1,845;C4;partido de carga;;8/13/2017;1/1/2017;
1,846;C5;Costo;;8/13/2017;1/1/2017;
1,847;C6;celda;;8/13/2017;1/1/2017;
1,848;C77;Calibre de libra;;8/13/2017;1/1/2017;
1,849;C98;Segundo recíproco por metro cúbico;;8/13/2017;1/1/2017;S $ ^ {1} $ / m $ ³ $
1,850;CE;Cada mes;;8/13/2017;1/1/2017;
1,851;CK;Conector;;8/13/2017;1/1/2017;
1,852;CZ;Combo;;8/13/2017;1/1/2017;
1,853;D14;Yarda mil lineal;;8/13/2017;1/1/2017;
1,854;D28;sifón;;8/13/2017;1/1/2017;
1,855;D35;Calorías (termoquímicas);;8/13/2017;1/1/2017;º cal
1,856;D37;Calorías (termoquímicas) por gramo de kelvin;;8/13/2017;1/1/2017;º cal / (g · K)
1,857;D38;Calorías (termoquímicas) por segundo centímetro kelvin;;8/13/2017;1/1/2017;º cal / (s · cm · K)
1,858;D39;Calorías (termoquímicas) por segundo centímetro cuadrado kelvin;;8/13/2017;1/1/2017;º cal / (s · cm² · K)
1,859;D40;Mil litros;;8/13/2017;1/1/2017;
1,860;D64;bloquear;;8/13/2017;1/1/2017;
1,861;D66;casete;;8/13/2017;1/1/2017;
1,862;D67;Dólar por hora;;8/13/2017;1/1/2017;
1,863;D7;Sandwich;;8/13/2017;1/1/2017;
1,864;D70;Calorías (tabla internacional);;8/13/2017;1/1/2017;Cal TI
1,865;D71;Calorías (tabla internacional) por segundo centímetro kelvin;;8/13/2017;1/1/2017;cal TI / (s · cm · K)
1,866;D72;Calorías (tabla internacional) por segundo centímetro cuadrado kelvin;;8/13/2017;1/1/2017;Cal TI / (s · cm² · K)
1,867;D75;Calorías (tabla internacional) por gramo;;8/13/2017;1/1/2017;cal IT / g
1,868;D76;Calorías (tabla internacional) por gramo de kelvin;;8/13/2017;1/1/2017;cal IT / (g · K)
1,869;D79;Viga;;8/13/2017;1/1/2017;
1,870;D8;Draize score;;8/13/2017;1/1/2017;
1,871;D9;Dina por centímetro cuadrado;;8/13/2017;1/1/2017;Dyn / cm²
1,872;D90;Metro cúbico (neta);;8/13/2017;1/1/2017;
1,873;D92;banda;;8/13/2017;1/1/2017;
1,874;D96;Libra bruta;;8/13/2017;1/1/2017;
1,875;D98;Libra masiva;;8/13/2017;1/1/2017;
1,876;D99;manga;;8/13/2017;1/1/2017;
1,877;DC;Disco (disco);;8/13/2017;1/1/2017;
1,878;DE;Acuerdo;;8/13/2017;1/1/2017;
1,879;DI;dispensador;;8/13/2017;1/1/2017;
1,880;DQ;registro de datos;;8/13/2017;1/1/2017;
1,881;DRM;Drachm (UK);;8/13/2017;1/1/2017;
1,882;DS;monitor;;8/13/2017;1/1/2017;
1,883;DU;dina;;8/13/2017;1/1/2017;Dyn
1,884;Dx;Dina por centímetro;;8/13/2017;1/1/2017;Dyn / cm
1,885;DY;Libro de directorio;;8/13/2017;1/1/2017;
1,886;E11;Gigacalorie;Una unidad de energía térmica equivalente a mil millones de calorías.;8/13/2017;1/1/2017;
1,887;E3;remolque;;8/13/2017;1/1/2017;
1,888;E5;Tonelada métrica larga;Utilice ton (UK) o tonelada larga (US) (código común LTN);8/13/2017;1/1/2017;
1,889;EP;Paquete de once;;8/13/2017;1/1/2017;
1,890;F1;Mil pies cúbicos por día;;8/13/2017;1/1/2017;
1,891;F9;Fibra por centímetro cúbico de aire;;8/13/2017;1/1/2017;
1,892;FB;campo;;8/13/2017;1/1/2017;
1,893;FD;Millones de partículas por pie cúbico;;8/13/2017;1/1/2017;
1,894;FE;Pie de pista;;8/13/2017;1/1/2017;
1,895;FG;Parche transdérmico;;8/13/2017;1/1/2017;
1,896;FM;Millones de pies cúbicos;;8/13/2017;1/1/2017;Mft³
1,897;G7;Hoja de microficha;;8/13/2017;1/1/2017;
1,898;GC;Gramo por 100 gramos;;8/13/2017;1/1/2017;
1,899;Gd;Barril bruto;;8/13/2017;1/1/2017;
1,900;GH;Medio galón (US);;8/13/2017;1/1/2017;
1,901;GK;Gramo por kilogramo;;8/13/2017;1/1/2017;
1,902;GN;Galón bruto;;8/13/2017;1/1/2017;
1,903;GT;Tonelada bruta;Una unidad de masa igual a 2240 libras. Véase el Convenio internacional sobre arqueo de buques. Sinónimo: ton (UK) o tonelada larga (US) (código común LTN) ;8/13/2017;1/1/2017;
1,904;GW;Galón por mil pies cúbicos;;8/13/2017;1/1/2017;
1,905;GY;Patio grueso;;8/13/2017;1/1/2017;
1,906;GZ;Sistema de calibración;;8/13/2017;1/1/2017;
1,907;H1;Media página - electrónica;;8/13/2017;1/1/2017;
1,908;H2;Medio litro;;8/13/2017;1/1/2017;
1,909;H78;Centímetro convencional de agua;;8/13/2017;1/1/2017;Cm H $ 2 $ O
1,910;HAR;hectárea;Sinónimo: hectómetro cuadrado;8/13/2017;1/1/2017;decir ah
1,911;HD;Media docena;;8/13/2017;1/1/2017;
1,912;HE;Centésima de un quilate;;8/13/2017;1/1/2017;
1,913;HF;Cien pies;;8/13/2017;1/1/2017;
1,914;HI;Cien hojas;;8/13/2017;1/1/2017;
1,915;HJ;Potencia métrica;;8/13/2017;1/1/2017;Hp métrico
1,916;HK;Cien kilogramos;;8/13/2017;1/1/2017;
1,917;HL;Cien pies (lineal);;8/13/2017;1/1/2017;
1,918;HN;Milímetro convencional de mercurio;;8/13/2017;1/1/2017;Mm Hg
1,919;HO;Cien onzas troy;;8/13/2017;1/1/2017;
1,920;HP;Milímetro convencional de agua;;8/13/2017;1/1/2017;Mm H $ 2 $ O
1,921;HS;Cien pies cuadrados;;8/13/2017;1/1/2017;
1,922;HT;media hora;;8/13/2017;1/1/2017;
1,923;HY;Cien yardas;;8/13/2017;1/1/2017;
1,924;IC;Contar por pulgada;;8/13/2017;1/1/2017;
1,925;IF;Pulgadas de agua;Use una pulgada de agua (código común F78);8/13/2017;1/1/2017;
1,926;II;Columna pulgada;;8/13/2017;1/1/2017;
1,927;IM;Impresión;;8/13/2017;1/1/2017;
1,928;IP;póliza de seguros;;8/13/2017;1/1/2017;
1,929;IT;Recuento por centímetro;;8/13/2017;1/1/2017;
1,930;J89;Centímetro de mercurio;;8/13/2017;1/1/2017;Cm Hg
1,931;J94;Dina centímetro;;8/13/2017;1/1/2017;Dyn · cm
1,932;JB;Jumbo;;8/13/2017;1/1/2017;
1,933;Jo;Articulación;;8/13/2017;1/1/2017;
1,934;K24;Pie de agua;;8/13/2017;1/1/2017;Ft H $ 2 $ O
1,935;K25;Pie de mercurio;;8/13/2017;1/1/2017;Ft Hg
1,936;K5;Kilovoltios amperios (reactivos);Utilice kilovar (código común KVR);8/13/2017;1/1/2017;Kvar
1,937;KD;Kilogram decimal;;8/13/2017;1/1/2017;
1,938;KF;Kilopacket;;8/13/2017;1/1/2017;
1,939;KS;Mil libras por pulgada cuadrada;;8/13/2017;1/1/2017;
1,940;L61;Pinta (US seco);Utilice pinta seca (código común PTD);8/13/2017;1/1/2017;Pt (US seco)
1,941;L62;Cuarto de galón (seco de los EUA);Utilice cuarto seco (EUA) (código común QTD);8/13/2017;1/1/2017;Qt (US seco)
1,942;LC;Centímetro lineal;;8/13/2017;1/1/2017;
1,943;LE;Lite;;8/13/2017;1/1/2017;
1,944;LI;Pulgada lineal;;8/13/2017;1/1/2017;
1,945;LJ;Spray grande;;8/13/2017;1/1/2017;
1,946;LX;Yarda lineal por libra;;8/13/2017;1/1/2017;
1,947;M0;cinta magnética;;8/13/2017;1/1/2017;
1,948;MA;Máquina por unidad;;8/13/2017;1/1/2017;
1,949;MF;Miligramo por pie cuadrado por lado;;8/13/2017;1/1/2017;
1,950;MK;Miligramo por pulgada cuadrada;;8/13/2017;1/1/2017;Mg / in²
1,951;MQ;Mil metros;;8/13/2017;1/1/2017;
1,952;MV;Número de mults;;8/13/2017;1/1/2017;
1,953;N2;número de líneas;;8/13/2017;1/1/2017;
1,954;NB;barcaza;;8/13/2017;1/1/2017;
1,955;NBB;Número de bobinas;;8/13/2017;1/1/2017;
1,956;NC;Carro;;8/13/2017;1/1/2017;
1,957;ND;Barril neto;;8/13/2017;1/1/2017;
1,958;NE;Litro neto;;8/13/2017;1/1/2017;
1,959;NG;Galón neto (us);;8/13/2017;1/1/2017;
1,960;NH;Hora del mensaje;;8/13/2017;1/1/2017;
1,961;NI;Galón imperial neto;;8/13/2017;1/1/2017;
1,962;NJ;Número de pantallas;;8/13/2017;1/1/2017;
1,963;NN;tren;;8/13/2017;1/1/2017;
1,964;NPR;Número de parejas;Una unidad de cuenta que define el número de pares (par: elemento descrito por dos).;8/13/2017;1/1/2017;
1,965;NQ;Mho;;8/13/2017;1/1/2017;
1,966;NR;Micromho;;8/13/2017;1/1/2017;
1,967;NTT;Tonelada de registro neto;Una unidad de masa igual al total de las imágenes cúbicas después de las deducciones, donde 1 registro t es igual a 100 pies cúbicos. Véase el Convenio internacional sobre el arqueo de los buques.;8/13/2017;1/1/2017;
1,968;NV;vehículo;;8/13/2017;1/1/2017;
1,969;NY;Libra por tonelada métrica al aire seco;;8/13/2017;1/1/2017;
1,970;Ohm;Ohm;es la resistencia eléctrica que existe entre dos puntos de un conductor cuando una diferencia de potencial constante de 1 volt aplicada entre estos dos puntos produce, en dicho conductor, una corriente de intensidad 1 amperio, cuando no haya fuerza elect;1/1/2017;1/1/2017;?
1,971;OP;Dos paquetes;;8/13/2017;1/1/2017;
1,972;OZ;Onza AV;Una unidad de medida igual a 1/16 de una libra o aproximadamente 28.3495 gramos (av = avoirdupois). Use onza (código común ONZ).;8/13/2017;1/1/2017;
1,973;P0;Página electrónica;;8/13/2017;1/1/2017;
1,974;P3;Tres paquetes;;8/13/2017;1/1/2017;
1,975;P4;paquete de cuatro;;8/13/2017;1/1/2017;
1,976;P6;paquete de seis;;8/13/2017;1/1/2017;
1,977;P7;Paquete de siete;;8/13/2017;1/1/2017;
1,978;P8;Paquete de ocho;;8/13/2017;1/1/2017;
1,979;P9;Nueve paquetes;;8/13/2017;1/1/2017;
1,980;PB;Par de la pulgada;;8/13/2017;1/1/2017;
1,981;PE;Libra equivalente;;8/13/2017;1/1/2017;
1,982;PM;Porcentaje de libra;;8/13/2017;1/1/2017;
1,983;PT;Pinta (US);Utilice pinta líquida (código común PTL);8/13/2017;1/1/2017;Pt (US)
1,984;PV;Media pinta (US);;8/13/2017;1/1/2017;
1,985;PW;Libra por pulgada de ancho;;8/13/2017;1/1/2017;
1,986;PY;Pico seco (EUA);;8/13/2017;1/1/2017;
1,987;PZ;Peck dry (UK);;8/13/2017;1/1/2017;
1,988;QD;Cuarta docena;;8/13/2017;1/1/2017;
1,989;QH;Un cuarto de hora;;8/13/2017;1/1/2017;
1,990;QK;Cuarto de kilogramo;;8/13/2017;1/1/2017;
1,991;QT;Cuarto (EUA);Utilice cuarto de galón líquido (código común QTL);8/13/2017;1/1/2017;Qt (US)
1,992;RK;Medida métrica de rollo;;8/13/2017;1/1/2017;
1,993;RN;Medida métrica de Hojas (resma);;8/13/2017;1/1/2017;
1,994;RS;Reiniciar;;8/13/2017;1/1/2017;
1,995;RU;correr;;8/13/2017;1/1/2017;
1,996;S5;Sesenta cuartos de pulgada;;8/13/2017;1/1/2017;
1,997;S6;Sesión;;8/13/2017;1/1/2017;
1,998;S7;unidad de almacenamiento;;8/13/2017;1/1/2017;
1,999;S8;Unidad de publicidad estándar;;8/13/2017;1/1/2017;
2,000;SD;Libra sólida;;8/13/2017;1/1/2017;
2,001;SE;Sección;;8/13/2017;1/1/2017;
2,002;SHT;Tonelada de envíos;Unidad de masa que define el número de toneladas para el envío.;8/13/2017;1/1/2017;
2,003;SK;Camión cisterna con división;;8/13/2017;1/1/2017;
2,004;SN;Barra cuadrada;;8/13/2017;1/1/2017;Rd²
2,005;SS;Medida métrica de hoja;;8/13/2017;1/1/2017;
2,006;SST;Estandar corto (7200 partidos);;8/13/2017;1/1/2017;
2,007;T1;Mil libras;;8/13/2017;1/1/2017;
2,008;T4;Bolsa de mil;;8/13/2017;1/1/2017;
2,009;T5;Mil envolturas;;8/13/2017;1/1/2017;
2,010;T6;Mil galones (US);;8/13/2017;1/1/2017;
2,011;T7;Impresión de mil;;8/13/2017;1/1/2017;
2,012;T8;Mil pulgadas lineales;;8/13/2017;1/1/2017;
2,013;TA;Décimo de pie cúbico;;8/13/2017;1/1/2017;
2,014;TAB;Tonelada de registro bruto;Una unidad de masa igual al total de las imágenes cúbicas antes de las deducciones, donde 1 registro t es igual a 100 pies cúbicos.Véase el Convenio internacional sobre el arqueo de los buques.;8/13/2017;1/1/2017;
2,015;TC;Camión;;8/13/2017;1/1/2017;
2,016;TD;Termico;;8/13/2017;1/1/2017;
2,017;TE;Totalizador;;8/13/2017;1/1/2017;
2,018;TF;Diez yardas cuadradas;;8/13/2017;1/1/2017;
2,019;TJ;Mil centímetros cuadrados;;8/13/2017;1/1/2017;
2,020;TL;Mil pies (lineal);;8/13/2017;1/1/2017;
2,021;TQ;Mil pies;;8/13/2017;1/1/2017;
2,022;TR;Diez pies cuadrados;;8/13/2017;1/1/2017;
2,023;Ts;Mil pies cuadrados;;8/13/2017;1/1/2017;
2,024;TSD;Tonelada de sustancia 90% seca;;8/13/2017;1/1/2017;
2,025;TSH;Tonelada de vapor por hora;;8/13/2017;1/1/2017;
2,026;TT;Mil metros lineales;;8/13/2017;1/1/2017;
2,027;Tu;Contenedor externo;Tipo de caja de contención que sirve como contenedor de transporte externo, no especificado como equipo de transporte.;8/13/2017;1/1/2017;
2,028;TV;Mil kilogramos;;8/13/2017;1/1/2017;
2,029;TW;Mil hojas;;8/13/2017;1/1/2017;
2,030;UA;Torr;;8/13/2017;1/1/2017;Torr
2,031;UD;Décimo minuto;;8/13/2017;1/1/2017;
2,032;UE;Hora de décimo;;8/13/2017;1/1/2017;
2,033;UF;Uso por línea de telecomunicaciones promedio;;8/13/2017;1/1/2017;
2,034;UH;Diez mil yardas;;8/13/2017;1/1/2017;
2,035;UM;Millón de unidades;;8/13/2017;1/1/2017;
2,036;UN;Newton metro;;1/1/2017;1/1/2017;N·m
2,037;VS;Visita;;8/13/2017;1/1/2017;
2,038;W4;Dos semanas;;8/13/2017;1/1/2017;
2,039;WH;Rueda;;8/13/2017;1/1/2017;
2,040;WI;Peso por pulgada cuadrada;;8/13/2017;1/1/2017;
2,041;WR;Envolver;;8/13/2017;1/1/2017;
2,042;WW;Mililitro de agua;Unidad de volumen igual al número de mililitros de agua.;8/13/2017;1/1/2017;
2,043;X1A;Tambor de acero;;8/13/2017;1/1/2017;
2,044;X1B;Tambor de aluminio;;8/13/2017;1/1/2017;
2,045;X1D;Tambor contrachapado;;8/13/2017;1/1/2017;
2,046;X1F;Contenedor flexible;Contenedor de empaque de construcción flexible.;8/13/2017;1/1/2017;
2,047;X1G;Tambor de fibra;;8/13/2017;1/1/2017;
2,048;X1w;Tambor de madera;;8/13/2017;1/1/2017;
2,049;X2C;Barril de madera;;8/13/2017;1/1/2017;
2,050;X3A;Bidón de acero;;8/13/2017;1/1/2017;
2,051;X3H;Bidón de plástico;;8/13/2017;1/1/2017;
2,052;X43;Bolsa de gran tamaño;Bolsa de tela de plástico o de papel que tiene las dimensiones del pallet sobre el que está construido.;8/13/2017;1/1/2017;
2,053;X44;Bolsa de plastico;Un tipo de bolsa de plástico, normalmente utilizada para envolver piezas promocionales, publicaciones, muestras de productos y / o catálogos.;8/13/2017;1/1/2017;
2,054;X4A;Caja de acero;;8/13/2017;1/1/2017;
2,055;X4B;Caja de aluminio;;8/13/2017;1/1/2017;
2,056;X4C;Caja de  madera natural;;8/13/2017;1/1/2017;
2,057;X4D;Caja de contrachapado;;8/13/2017;1/1/2017;
2,058;X4F;Caja de madera reconstituida;;8/13/2017;1/1/2017;
2,059;X4G;Caja de cartón;;8/13/2017;1/1/2017;
2,060;X4H;Caja de plástico;;8/13/2017;1/1/2017;
2,061;X5H;Bolsa de plástico tejido;;8/13/2017;1/1/2017;
2,062;X5L;Bolsa textil;;8/13/2017;1/1/2017;
2,063;X5M;Bolsa de papel;;8/13/2017;1/1/2017;
2,064;X6H;Recipiente de plástico, Contenedor compuesto.;;8/13/2017;1/1/2017;
2,065;X6P;Recipiente de vidrio, Contenedor compuesto.;;8/13/2017;1/1/2017;
2,066;X7A;Estuche para carro;Tipo de contenedor portátil diseñado para almacenar equipo para el transporte en un automóvil.;8/13/2017;1/1/2017;
2,067;X7B;Estuche de madera;Un estuche de madera para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,068;X8A;Pallet de madera;Plataforma o caja abierta de madera, en la que se conservan las mercancías para facilitar su manejo mecánico durante el transporte y almacenamiento.;8/13/2017;1/1/2017;
2,069;X8B;Cajón de madera;Un contenedor de madera, en el que se conservan las mercancías para facilitar su manipulación mecánica durante el transporte y almacenamiento.;8/13/2017;1/1/2017;
2,070;X8C;Madera flejada;Piezas sueltas o sin contenedor de madera atadas o envueltas.;8/13/2017;1/1/2017;
2,071;XAA;Contenedor intermedio  para gráneles de plástico rígido;;8/13/2017;1/1/2017;
2,072;XAB;Contenedor de fibra;Recipiente de contención de fibra, utilizado para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,073;XAC;Contenedor de papel;Recipiente de contención de papel, para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,074;XAD;Contenedor de madera;Recipiente de contención de madera, para retener sustancias o artículos.;8/13/2017;1/1/2017;
2,075;XAE;Aerosol;Una unidad de cuenta que define el número de Aerosoles;8/13/2017;1/1/2017;
2,076;XAF;Pallet modular con collares,  80cms * 60cms;Pallet de tamaño estándar con dimensiones de 80 centímetros por 60 centímetros (cms).;8/13/2017;1/1/2017;
2,077;XAG;Pallet o empaquetado;La carga del pallet se asegura con una película de plástico transparente envuelta alrededor y luego encogido firmemente.;8/13/2017;1/1/2017;
