id;clave;nombre;tipodoctoid;direccion;formapagoid;mismocorte;traslado;concepto;reversionabono;montoocuenta;clasedoctocorte;importecambio
210;reversiondepositono_od_traslados;reversiondepositono_od_traslados;21;I;20;N;N;NA;S;M;N;NA
211;reversiondeposito_od_solotraslados;reversiondeposito_od_solotraslados;21;I;20;N;S;NA;S;M;N;NA
212;reversiondeptercero_od_venta;reversiondeptercero_od_venta;21;I;21;N;NA;NA;S;M;N;NA
213;reversiondeptercero_od_notraslados;reversiondeptercero_od_notraslados;21;I;21;N;N;NA;S;M;N;NA
214;reversiondeptercero_od_solotraslados;reversiondeptercero_od_solotraslados;21;I;21;N;S;NA;S;M;N;NA
215;montoiva;montoiva;null;NA;null;NA;NA;MONTOIVA;NA;M;N;NA
216;montoieps;montoieps;null;NA;null;NA;NA;MONTOIEPS;NA;M;N;NA
217;montoimpuesto;montoimpuesto;null;NA;null;NA;NA;MONTOIMPUESTO;NA;M;N;NA
218;subtotalconiva;subtotalconiva;null;NA;null;NA;NA;SUBTOTALCONIVA;NA;M;N;NA
219;subtotalsiniva;subtotalsiniva;null;NA;null;NA;NA;SUBTOTALSINIVA;NA;M;N;NA
220;ingreso;ingreso;null;I;null;NA;NA;NA;NA;M;NA;NA
221;egreso;egreso;null;E;null;NA;NA;NA;NA;M;NA;NA
222;total;total;null;NA;null;NA;NA;NA;NA;M;NA;NA
