ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;NOMBRE;DESCRIPCION;NOTA;FECHAINICIO;FECHAFIN;SIMBOLO;BANDERA
87;S;22.01.2022 07:49;;22.01.2022 07:49;;XCP;Garrafón protegido;;;01.06.2021;;;Embalaje
88;S;22.01.2022 07:49;;22.01.2022 07:49;;XCQ;Cartucho;Paquete que contiene una carga tal como un explosivo propulsor para armas de fuego o tóner de tinta para una impresora.;;01.06.2021;;;Embalaje
89;S;22.01.2022 07:49;;22.01.2022 07:49;;XCR;Cajón;;;01.06.2021;;;Embalaje
90;S;22.01.2022 07:49;;22.01.2022 07:49;;XCS;Estuche;;;01.06.2021;;;Embalaje
91;S;22.01.2022 07:49;;22.01.2022 07:49;;XCT;Cartón;;;01.06.2021;;;Embalaje
92;S;22.01.2022 07:49;;22.01.2022 07:49;;XCU;Vaso;;;01.06.2021;;;Embalaje
93;S;22.01.2022 07:49;;22.01.2022 07:49;;XCV;Cubierta;;;01.06.2021;;;Embalaje
94;S;22.01.2022 07:49;;22.01.2022 07:49;;XCW;Jaula estilo rodillo;;;01.06.2021;;;Embalaje
95;S;22.01.2022 07:49;;22.01.2022 07:49;;XCX;Lata cilíndrica;;;01.06.2021;;;Embalaje
96;S;22.01.2022 07:49;;22.01.2022 07:49;;XCY;Cilindro;;;01.06.2021;;;Embalaje
97;S;22.01.2022 07:49;;22.01.2022 07:49;;XCZ;Lona;;;01.06.2021;;;Embalaje
98;S;22.01.2022 07:49;;22.01.2022 07:49;;XDA;Cajón multicapa de plástico;;;01.06.2021;;;Embalaje
99;S;22.01.2022 07:49;;22.01.2022 07:49;;XDB;Cajón de varias capas de madera;;;01.06.2021;;;Embalaje
100;S;22.01.2022 07:49;;22.01.2022 07:49;;XDC;Cajón multicapa de cartón;;;01.06.2021;;;Embalaje
101;S;22.01.2022 07:49;;22.01.2022 07:49;;XDG;Jaula, Según la clasificación de la compañía (Commonwealth Handling Equipment Pool (CHEP));;;01.06.2021;;;Embalaje
102;S;22.01.2022 07:49;;22.01.2022 07:49;;XDH;Caja, Según la clasificación de la compañía (CHEP), Eurobox;Caja montada sobre una base de pallet Según la clasificación de la compañía (CHEP).;;01.06.2021;;;Embalaje
103;S;22.01.2022 07:49;;22.01.2022 07:49;;XDI;Tambor de hierro;;;01.06.2021;;;Embalaje
104;S;22.01.2022 07:49;;22.01.2022 07:49;;XDJ;damajuana o garrafa, no protegido;;;01.06.2021;;;Embalaje
105;S;22.01.2022 07:49;;22.01.2022 07:49;;XDK;Cajón a granel, cartón;;;01.06.2021;;;Embalaje
106;S;22.01.2022 07:49;;22.01.2022 07:49;;XDL;Cajas de plástico;;;01.06.2021;;;Embalaje
107;S;22.01.2022 07:49;;22.01.2022 07:49;;XDM;Cajones a granel de madera;;;01.06.2021;;;Embalaje
108;S;22.01.2022 07:49;;22.01.2022 07:49;;XDN;Dispensador;;;01.06.2021;;;Embalaje
109;S;22.01.2022 07:49;;22.01.2022 07:49;;XDP;damajuana o garrafa, protegido;;;01.06.2021;;;Embalaje
110;S;22.01.2022 07:49;;22.01.2022 07:49;;XDR;Tambor;;;01.06.2021;;;Embalaje
111;S;22.01.2022 07:49;;22.01.2022 07:49;;XDS;Bandeja de una capa sin cubierta y de plástico;;;01.06.2021;;;Embalaje
112;S;22.01.2022 07:49;;22.01.2022 07:49;;XDT;Bandeja de una capa sin cubierta y de madera;;;01.06.2021;;;Embalaje
113;S;22.01.2022 07:49;;22.01.2022 07:49;;XDU;Bandeja de una capa sin cubierta y  poliestireno;;;01.06.2021;;;Embalaje
114;S;22.01.2022 07:49;;22.01.2022 07:49;;XDV;Bandeja de una capa sin cubierta y de cartón;;;01.06.2021;;;Embalaje
115;S;22.01.2022 07:49;;22.01.2022 07:49;;XDW;Bandeja de dos capas sin tapa y con bandeja de plástico;;;01.06.2021;;;Embalaje
116;S;22.01.2022 07:49;;22.01.2022 07:49;;XDX;Bandeja de dos capas sin cubierta y de madera;;;01.06.2021;;;Embalaje
117;S;22.01.2022 07:49;;22.01.2022 07:49;;XDY;Bandeja de dos capas sin cubierta y de cartón;;;01.06.2021;;;Embalaje
118;S;22.01.2022 07:49;;22.01.2022 07:49;;XEC;Bolsa de plástico;;;01.06.2021;;;Embalaje
119;S;22.01.2022 07:49;;22.01.2022 07:49;;XED;Estuche, con pallet de base;;;01.06.2021;;;Embalaje
