1,023;Usuarios - Edicion
1,024;Perfiles - Edicion
1,025;Cambio de password - Edicion
1,026;Reportes - Edicion
1,027;Clientes - Edicion
1,028;Kardex - Edicion
1,029;Empresa - Edicion
1,030;Cerrar Corte - Edicion
1,031;Rec. Otras Compras - Edicion
1,050;Cambios de Precios - Edicion
1,051;Inventario Fisico - Edicion
1,052;Abrir Corte - Edicion
1,053;Cargar Inventario Inicial - Edicion
1,055;Comisiones - Edicion
1,056;Ventas - Edicion
1,057;Detalle de Ventas - Edicion
1,058;Compras - Edicion
1,059;Detalle de Compras - Edicion
1,060;Stock Faltante - Edicion
1,061;Perfiles de Usuario - Edicion
1,081;Tasa Iva - Edicion
1,082;Moneda - Edicion
1,083;Banco - Edicion
1,088;Sucursales - Edicion
1,089;Grupos de sucursal - Edicion
1,091;Anaqueles - Edicion
1,094;Estados - Edicion
1,095;Unidades - Edicion
1,097;Promociones - Edicion
1,098;Promociones - Activar/Desactivar
1,216;Gastos - Edicion
1,238;Rutas de Embarque - Edicion
1,242;Contenidos de producto - Edicion
1,243;Clasificacion adicional de producto  - Edicion
1,246;Motivos de devolucion - Edicion
1,250;Merchant Pago Servicios - Edicion
1,251;Clerk Pago Servicios - Edicion
1,289;Gastos Adicionales - Edicion
1,295;Plazo edicion
1,329;Catalogo de cuentas de banco - Edicion
1,364;Corte Recoleccion - Edicion
2,001;Catalogos - Eliminacion
2,002;Clientes - Eliminacion
2,003;Vendedores - Eliminacion
2,004;Operaciones - Eliminacion
2,005;Entradas - Eliminacion
2,006;Notas de credito - Eliminacion
2,007;Otras entradas - Eliminacion
2,008;Salidas - Eliminacion
2,009;Punto de Venta - Eliminacion
2,010;Dev. a proveedor - Eliminacion
2,011;Otras Salidas - Eliminacion
2,012;Procesos - Eliminacion
2,013;Importaciones - Eliminacion
2,014;Exportaciones FTP - Eliminacion
2,015;Tickets - Eliminacion
2,016;Compras - Eliminacion
2,017;Salidas - Eliminacion
2,018;Proveedores - Eliminacion
2,019;Linea - Eliminacion
2,020;Marcas - Eliminacion
2,021;Productos - Eliminacion
2,022;Administracion - Eliminacion
2,023;Usuarios - Eliminacion
2,024;Perfiles - Eliminacion
2,025;Cambio de password - Eliminacion
2,026;Reportes - Eliminacion
2,027;Clientes - Eliminacion
2,028;Kardex - Eliminacion
2,029;Empresa - Eliminacion
2,030;Cerrar Corte - Eliminacion
2,031;Rec. Otras Compras - Eliminacion
2,050;Cambios de Precios - Eliminacion
2,051;Inventario Fisico - Eliminacion
2,052;Abrir Corte - Eliminacion
2,053;Cargar Inventario Inicial - Eliminacion
2,055;Comisiones - Eliminacion
2,056;Ventas - Eliminacion
2,057;Detalle de Ventas - Eliminacion
2,058;Compras - Eliminacion
2,059;Detalle de Compras - Eliminacion
2,060;Stock Faltante - Eliminacion
2,061;Perfiles de Usuario - Eliminacion
2,081;Tasa Iva - Eliminacion
2,082;Moneda - Eliminacion
2,083;Banco - Eliminacion
2,088;Sucursales - Eliminacion
2,089;Grupos de sucursal - Eliminacion
2,091;Anaqueles - Eliminacion
2,094;Estados - Eliminacion
2,095;Unidades - Eliminacion
2,097;Promociones - Eliminacion
2,216;Gastos - Eliminacion
2,238;Rutas de Embarque - Eliminacion
2,242;Contenidos de producto - Eliminacion
2,243;Clasificacion adicional de producto - Eliminacion
2,246;Motivos de devolucion - Eliminacion
2,250;Merchant Pago Servicios - Eliminacion
2,251;Clerk Pago Servicios - Eliminacion
2,289;Gastos Adicionales - Eliminacion
2,295;Plazo eliminacion
2,329;Catalogo de cuentas de banco - Elim
2,364;Corte Recoleccion - Eliminacion
3,001;Catбlogos - Insercion
3,002;Clientes - Insercion
3,003;Vendedores - Insercion
3,004;Operaciones - Insercion
3,005;Entradas - Insercion
3,006;Notas de credito - Insercion
3,007;Otras entradas - Insercion
3,008;Salidas - Insercion
3,009;Punto de Venta - Insercion
3,010;Dev. a proveedor - Insercion
3,011;Otras Salidas - Insercion
3,012;Procesos - Insercion
3,013;Importaciones - Insercion
3,014;Exportaciones FTP - Insercion
3,015;Tickets - Insercion
3,016;Compras - Insercion
3,017;Salidas - Insercion
3,018;Proveedores - Insercion
3,019;Linea - Insercion
3,020;Marcas - Insercion
3,021;Productos - Insercion
3,022;Administracion - Insercion
3,023;Usuarios - Insercion
3,024;Perfiles - Insercion
3,025;Cambio de password - Insercion
3,026;Reportes - Insercion
3,027;Clientes - Insercion
3,028;Kardex - Insercion
3,029;Empresa - Insercion
3,030;Cerrar Corte - Insercion
3,031;Rec. Otras Compras - Insercion
3,050;Cambios de Precios - Insercion
3,051;Inventario Fisico - Insercion
3,052;Abrir Corte - Insercion
3,053;Cargar Inventario Inicial - Insercion
3,055;Comisiones - Insercion
3,056;Ventas - Insercion
3,057;Detalle de Ventas - Insercion
3,058;Compras - Insercion
3,059;Detalle de Compras - Insercion
3,060;Stock Faltante - Insercion
3,061;Perfiles de Usuario - Insercion
3,081;Tasa Iva - Insercion
3,082;Moneda - Insercion
3,083;Banco - Insercion
3,088;Sucursales - Insercion
3,089;Grupos de sucursal - Insercion
3,091;Anaqueles - Insercion
3,094;Estados - Insercion
3,095;Unidades - Insercion
3,097;Promociones - Insercion
3,139;Reporte personalizado agregar
3,216;Gastos - Insercion
3,238;Rutas de Embarque - Insercion
3,242;Contenidos de producto - Insercion
3,243;Clasificacion adicional de producto - Insercion
3,246;Motivos de devolucion - Insercion
3,250;Merchant Pago Servicios - Adicion
3,251;Clerk Pago Servicios - Adicion
3,289;Gastos Adicionales -  Insercion
3,295;Plazo insercion
3,329;Catalogo de cuentas de banco - Adic
3,364;Corte recoleccion - Insercion
4,139;Reporte personalizado ejecutar
5,139;Reporte personalizado disenar
10,001;Mostrar Costos
10,002;Cambiar precio
