id;sat_clave;sat_descripcion;sat_formatocp;sat_formatorit;sat_validacionrit;sat_agrupaciones
71;FJI;Fiyi;null;null;null;null
72;FRA;Francia;null;null;null;Union Europea
73;GAB;Gabon;null;null;null;null
74;GMB;Gambia (La);null;null;null;null
75;GEO;Georgia;null;null;null;null
76;GHA;Ghana;null;null;null;null
77;GIB;Gibraltar;null;null;null;null
78;GRD;Granada;null;null;null;null
79;GRC;Grecia;null;null;null;Union Europea
80;GRL;Groenlandia;null;null;null;null
81;GLP;Guadalupe;null;null;null;null
82;GUM;Guam;null;null;null;null
83;GTM;Guatemala;null;null;null;null
84;GUF;Guayana Francesa;null;null;null;null
85;GGY;Guernsey;null;null;null;null
86;GIN;Guinea;null;null;null;null
87;GNB;Guinea-Bisau;null;null;null;null
88;GNQ;Guinea Ecuatorial;null;null;null;null
89;GUY;Guyana;null;null;null;null
90;HTI;Haiti;null;null;null;null
91;HND;Honduras;null;null;null;null
92;HKG;Hong Kong;null;null;null;null
93;HUN;Hungria;null;null;null;Union Europea
94;IND;India;null;null;null;null
95;IDN;Indonesia;null;null;null;null
96;IRQ;Irak;null;null;null;null
97;IRN;Iran (la Republica Islamica de);null;null;null;null
98;IRL;Irlanda;null;null;null;Union Europea
99;BVT;Isla Bouvet;null;null;null;null
100;IMN;Isla de Man;null;null;null;null
101;CXR;Isla de Navidad;null;null;null;null
102;NFK;Isla Norfolk;null;null;null;null
103;ISL;Islandia;null;null;null;null
104;CYM;Islas Caiman (las);null;null;null;null
105;CCK;Islas Cocos (Keeling);null;null;null;null
106;COK;Islas Cook (las);null;null;null;null
107;FRO;Islas Feroe (las);null;null;null;null
108;SGS;Georgia del sur y las islas sandwich del sur;null;null;null;null
109;HMD;Isla Heard e Islas McDonald;null;null;null;null
110;FLK;Islas Malvinas [Falkland] (las);null;null;null;null
111;MNP;Islas Marianas del Norte (las);null;null;null;null
112;MHL;Islas Marshall (las);null;null;null;null
113;PCN;Pitcairn;null;null;null;null
114;SLB;Islas Salomon (las);null;null;null;null
115;TCA;Islas Turcas y Caicos (las);null;null;null;null
116;UMI;Islas de Ultramar Menores de Estados Unidos (las);null;null;null;null
117;VGB;Islas Virgenes (Britanicas);null;null;null;null
118;VIR;Islas Virgenes (EE.UU.);null;null;null;null
119;ISR;Israel;null;null;null;null
120;ITA;Italia;null;null;null;Union Europea
121;JAM;Jamaica;null;null;null;null
122;JPN;Japon;null;null;null;null
123;JEY;Jersey;null;null;null;null
124;JOR;Jordania;null;null;null;null
125;KAZ;Kazajistan;null;null;null;null
126;KEN;Kenia;null;null;null;null
127;KGZ;Kirguistan;null;null;null;null
128;KIR;Kiribati;null;null;null;null
129;KWT;Kuwait;null;null;null;null
130;LAO;Lao, (la) Republica Democratica Popular;null;null;null;null
131;LSO;Lesoto;null;null;null;null
132;LVA;Letonia;null;null;null;Union Europea
133;LBN;Libano;null;null;null;null
134;LBR;Liberia;null;null;null;null
135;LBY;Libia;null;null;null;null
136;LIE;Liechtenstein;null;null;null;null
137;LTU;Lituania;null;null;null;Union Europea
138;LUX;Luxemburgo;null;null;null;Union Europea
139;MAC;Macao;null;null;null;null
140;MDG;Madagascar;null;null;null;null
141;MYS;Malasia;null;null;null;null
142;MWI;Malaui;null;null;null;null
143;MDV;Maldivas;null;null;null;null
144;MLI;Mali;null;null;null;null
145;MLT;Malta;null;null;null;Union Europea
146;MAR;Marruecos;null;null;null;null
147;MTQ;Martinica;null;null;null;null
148;MUS;Mauricio;null;null;null;null
149;MRT;Mauritania;null;null;null;null
