id;clave;nombre;sentidoinventario;sentidopago;clasedoctoid;clavesis;sentidoinventarioapartados;sentidopagoapartados;sentidocostopromedio;hacereferencia;tipodistloteimportadoid;tipodoctocancelacionid;sentidoabonocliente;sentidoabonoproveedor;sentidoabonomismocorte;sentidoabonootrocorte;sentidoenprocesosalida;verif_exist;ensamblarkits
503;AJUSTE POR ENSAMBLE DE KIT;AJUSTE POR ENSAMBLE DE KIT;-1;0;1;AJUSTEENSAMBLEKIT;0;0;0;S;0;null;0;0;0;0;0;N;N
504;AJUSTE POR DESENSAMBLE;AJUSTE POR DESENSAMBLE;1;0;1;AJUSTEDESENSAMBLEKIT;0;0;0;S;0;null;0;0;0;0;0;N;N
505;REFERENCIA KIT;REFERENCIA KIT;0;0;1;REFERENCIA KIT;0;0;0;N;0;null;0;0;0;0;0;N;N
600;CONTRARECIBO;CONTRARECIBO;0;0;5;CONTRARECIBO;0;0;0;N;0;null;0;0;0;0;0;N;N
701;CONSOLIDADO DE FACTURA;CONSOLIDADO DE FACTURA;0;0;5;CONSOLIDADO DE FACTURA;0;0;0;N;0;703;0;0;0;0;0;N;N
702;DEVOLUCION A CONSOLIDADO;DEVOLUCION A CONSOLIDADO;0;0;5;DEVOLUCION CONSOLIDADO;0;0;0;N;0;null;0;0;0;0;0;N;N
703;CANCELACION DE CONSOLIDADO;CANCELACION DE CONSOLIDADO;0;0;5;CANCELACIONCONSOLIDADO;0;0;0;N;0;null;0;0;0;0;0;N;N
821;VENTA A FUTURO;VENTA A FUTURO;0;0;2;VENTA A FUTURO;0;0;0;N;0;823;0;0;0;0;0;N;N
823;CANCELACION VENTA A FUTURO;CANCELACION VENTA A FUTURO;0;0;2;CANCELACIONVENTAFUTURO;0;0;0;N;0;null;0;0;0;0;0;N;N
901;PEDIMENTO SALIDA;PEDIMENTO SALIDA;-1;0;1;PEDIMENTO SALIDA;0;0;0;N;0;null;0;0;0;0;0;N;N
902;PEDIMENTO ENTRADA;PEDIMENTO ENTRADA;1;0;1;PEDIMENTO ENTRADA;0;0;0;N;0;null;0;0;0;0;0;N;N
1,001;TRASLADO A PRODUCTO PROMOCION;TRASLADO A PRODUCTO PROMOCION;1;0;1;TRASLADOPRODUCTOPROMOCION;0;0;0;N;0;null;0;0;0;0;0;N;N
1,002;DESTRASLADO PRODUCTO PROMOCION;DESTRASLADO PRODUCTO PROMOCION;-1;0;1;DESTRASLADOPRODUCTOPROMOCION;0;0;0;N;0;null;0;0;0;0;0;N;N
1,003;AJUSTE POR TRASLADO PROMOCION;AJUSTE POR TRASLADO PROMOCION;-1;0;1;AJUSTETRASLADOPROMOCION;0;0;0;N;0;null;0;0;0;0;0;N;N
1,004;AJUSTE POR DESTRASLADO PRODPROM;AJUSTE POR DESTRASLADO PRODUCTO PROMOCION;1;0;1;AJUSTEDESTTRASLPRODPROMO;0;0;0;N;0;null;0;0;0;0;0;N;N
1,011;COMPRA SUCURSAL;COMPRA SUCURSAL;0;0;1;COMPRASUCURSAL;0;0;0;N;0;1,013;0;0;0;0;0;N;N
1,012;DEVOLUCION COMPRA SUCURSAL;DEVOLUCION COMPRA SUCURSAL;0;0;1;DEVOLUCIONCOMPRASUCURSAL;0;0;0;N;0;1,015;0;0;0;0;0;N;N
1,013;CANCELACION COMPRA SUCURSAL;CANCELACION COMPRA SUCURSAL;0;0;1;CANCELACIONCOMPRASUCURSAL;0;0;0;N;0;null;0;0;0;0;0;N;N
1,015;CANCELACION DEVO SUCURSAL;CANCELACION DEVO SUCURSAL;0;0;1;CANCELACIONDEVOSUCURSAL;0;0;0;N;0;null;0;0;0;0;0;N;N
